date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 11:26:44,30175,8077.0,2014-03-01 11:26:45,NULL,NULL,2014-03-01 11:30:54,5
2014-03-01 11:29:13,30175,8496.0,2014-03-01 11:29:14,NULL,NULL,2014-03-01 11:31:23,5
2014-03-01 11:33:30,30172,7819.0,2014-03-01 11:33:31,NULL,NULL,2014-03-01 11:38:53,2
2014-03-01 11:37:19,30560,6971.0,2014-03-01 11:37:20,NULL,NULL,2014-03-01 11:43:09,20
2014-03-01 11:39:25,30175,7531.0,2014-03-01 11:39:26,NULL,NULL,2014-03-01 11:40:57,5
2014-03-01 11:41:34,30175,8077.0,2014-03-01 11:41:35,NULL,NULL,2014-03-01 11:45:16,5
2014-03-01 11:42:43,30175,8496.0,2014-03-01 11:42:44,NULL,NULL,2014-03-01 11:46:08,5
2014-03-01 11:44:38,30175,7819.0,2014-03-01 11:44:39,NULL,NULL,2014-03-01 11:47:10,5
2014-03-01 11:44:57,30175,7531.0,2014-03-01 11:44:58,NULL,NULL,2014-03-01 11:53:50,5
2014-03-01 11:46:03,30175,6971.0,2014-03-01 11:46:04,NULL,NULL,2014-03-01 11:47:17,5
2014-03-01 11:47:08,30175,8077.0,2014-03-01 11:47:09,NULL,NULL,2014-03-01 11:47:42,5
2014-03-01 11:47:20,30175,8496.0,2014-03-01 11:47:21,NULL,NULL,2014-03-01 11:49:11,5
2014-03-01 11:48:50,30175,7819.0,2014-03-01 11:48:51,NULL,NULL,2014-03-01 11:50:41,5
2014-03-01 11:51:29,30172,8077.0,2014-03-01 11:51:30,NULL,NULL,2014-03-01 11:54:18,2
2014-03-01 11:54:00,30172,8496.0,2014-03-01 11:54:01,NULL,NULL,2014-03-01 11:59:58,2
2014-03-01 11:56:17,30172,7819.0,2014-03-01 11:56:18,NULL,NULL,2014-03-01 12:10:12,2
2014-03-01 11:57:20,30175,7531.0,2014-03-01 11:57:21,NULL,NULL,2014-03-01 11:58:04,5
2014-03-01 11:57:28,30172,8077.0,2014-03-01 11:57:29,NULL,NULL,2014-03-01 12:02:19,2
2014-03-01 12:01:55,30175,9118.0,2014-03-01 12:01:56,NULL,NULL,2014-03-01 12:05:52,5
2014-03-01 12:02:48,30179,8483.0,2014-03-01 12:02:49,NULL,NULL,2014-03-01 12:04:04,9
2014-03-01 12:03:40,30175,8496.0,2014-03-01 12:03:41,NULL,NULL,2014-03-01 12:08:44,5
2014-03-01 12:05:15,30175,8483.0,2014-03-01 12:05:16,NULL,NULL,2014-03-01 12:06:53,5
2014-03-01 12:05:41,30172,9118.0,2014-03-01 12:05:53,NULL,NULL,2014-03-01 12:09:03,2
2014-03-01 12:06:58,30179,8483.0,2014-03-01 12:06:59,2014-03-01 12:08:10,2014-03-01 12:08:15,2014-03-01 12:08:29,9
2014-03-01 12:09:24,30179,8483.0,2014-03-01 12:09:25,NULL,NULL,2014-03-01 12:11:19,9
2014-03-01 12:09:30,30179,8496.0,2014-03-01 12:09:31,NULL,NULL,2014-03-01 12:12:43,9
2014-03-01 12:12:13,30175,9118.0,2014-03-01 12:12:14,NULL,NULL,2014-03-01 12:14:57,5
2014-03-01 12:12:54,30175,8483.0,2014-03-01 12:12:55,NULL,NULL,2014-03-01 12:15:47,5
2014-03-01 12:13:07,30175,8496.0,2014-03-01 12:13:08,NULL,NULL,2014-03-01 12:13:36,5
2014-03-01 12:13:45,30172,8496.0,2014-03-01 12:13:46,2014-03-01 12:17:31,2014-03-01 12:17:59,2014-03-01 12:21:03,2
2014-03-01 12:19:53,30175,9118.0,2014-03-01 12:19:54,NULL,NULL,2014-03-01 12:29:14,5
2014-03-01 12:21:11,30172,8483.0,2014-03-01 12:21:12,2014-03-01 12:21:36,2014-03-01 12:21:50,2014-03-01 12:22:37,2
2014-03-01 12:22:16,30179,8496.0,2014-03-01 12:22:17,NULL,NULL,2014-03-01 12:29:11,9
2014-03-01 12:23:21,30175,8483.0,2014-03-01 12:23:22,NULL,NULL,2014-03-01 12:28:23,5
2014-03-01 12:27:18,30175,8483.0,2014-03-01 12:28:29,2014-03-01 12:29:05,2014-03-01 12:29:21,2014-03-01 12:35:15,5
2014-03-01 12:28:10,30175,NULL,NULL,NULL,NULL,2014-03-01 12:28:25,5
2014-03-01 12:29:06,30175,8496.0,2014-03-01 12:29:17,NULL,NULL,2014-03-01 12:31:42,5
2014-03-01 12:33:54,30175,9118.0,2014-03-01 12:33:55,NULL,NULL,2014-03-01 12:41:49,5
2014-03-01 12:35:19,30175,8483.0,2014-03-01 12:35:20,NULL,NULL,2014-03-01 12:43:34,5
2014-03-01 12:35:32,30560,8496.0,2014-03-01 12:35:33,NULL,NULL,2014-03-01 12:39:10,20
2014-03-01 12:35:46,30175,8496.0,2014-03-01 12:39:16,NULL,NULL,2014-03-01 12:44:17,5
2014-03-01 12:35:50,30175,9118.0,2014-03-01 12:41:59,NULL,NULL,2014-03-01 12:50:12,5
2014-03-01 12:37:14,30172,NULL,NULL,NULL,NULL,2014-03-01 12:38:12,2
2014-03-01 12:38:57,30172,8483.0,2014-03-01 12:43:40,NULL,NULL,2014-03-01 12:45:25,2
2014-03-01 12:39:24,30172,8496.0,2014-03-01 12:44:22,NULL,NULL,2014-03-01 12:48:41,2
2014-03-01 12:40:20,30175,8483.0,2014-03-01 12:45:31,NULL,NULL,2014-03-01 12:46:51,5
2014-03-01 12:43:20,30560,NULL,NULL,NULL,NULL,2014-03-01 12:45:18,20
2014-03-01 12:43:50,30175,NULL,NULL,NULL,NULL,2014-03-01 12:44:19,5
2014-03-01 12:46:53,30172,8483.0,2014-03-01 12:46:54,2014-03-01 12:47:19,2014-03-01 12:47:35,2014-03-01 12:50:44,2
2014-03-01 12:49:20,30175,8483.0,2014-03-01 12:49:20,NULL,NULL,2014-03-01 12:49:34,5
2014-03-01 12:50:12,30066,9118.0,2014-03-01 12:50:24,NULL,NULL,2014-03-01 12:52:18,0
2014-03-01 12:51:10,30172,8483.0,2014-03-01 12:51:49,NULL,NULL,2014-03-01 12:51:59,2
2014-03-01 12:53:47,30172,9118.0,2014-03-01 12:53:48,2014-03-01 12:54:37,2014-03-01 12:54:52,2014-03-01 12:55:55,2
2014-03-01 12:54:13,30560,8483.0,2014-03-01 12:54:13,NULL,NULL,2014-03-01 12:58:21,20
2014-03-01 12:55:23,30175,8496.0,2014-03-01 12:55:24,NULL,NULL,2014-03-01 13:00:37,5
2014-03-01 12:57:17,30175,9118.0,2014-03-01 12:57:18,NULL,NULL,2014-03-01 13:00:33,5
2014-03-01 12:57:20,30560,8483.0,NULL,NULL,NULL,2014-03-01 12:58:21,20
2014-03-01 12:59:10,30175,8483.0,2014-03-01 12:59:11,NULL,NULL,2014-03-01 13:02:38,5
2014-03-01 13:00:26,30175,6985.0,2014-03-01 13:00:27,NULL,NULL,2014-03-01 13:04:30,5
2014-03-01 13:00:43,30560,8077.0,2014-03-01 13:00:44,NULL,NULL,2014-03-01 13:13:27,20
2014-03-01 13:01:36,30175,7819.0,2014-03-01 13:01:37,NULL,NULL,2014-03-01 13:01:44,5
2014-03-01 13:03:18,30175,9118.0,2014-03-01 13:03:19,NULL,NULL,2014-03-01 13:03:26,5
2014-03-01 13:03:48,30175,7819.0,2014-03-01 13:03:48,NULL,NULL,2014-03-01 13:09:02,5
2014-03-01 13:05:45,30172,9118.0,2014-03-01 13:05:45,NULL,NULL,2014-03-01 13:08:11,2
2014-03-01 13:13:27,30172,6985.0,2014-03-01 13:13:28,NULL,NULL,2014-03-01 13:14:38,2
2014-03-01 13:15:38,30175,9118.0,2014-03-01 13:15:39,NULL,NULL,2014-03-01 13:26:45,5
2014-03-01 13:27:08,30175,7819.0,2014-03-01 13:27:09,NULL,NULL,2014-03-01 13:27:17,5
2014-03-01 13:27:21,30175,8077.0,2014-03-01 13:27:22,NULL,NULL,2014-03-01 13:30:56,5
2014-03-01 13:29:47,30175,6985.0,2014-03-01 13:29:48,NULL,NULL,2014-03-01 13:35:04,5
2014-03-01 13:34:02,30175,7819.0,2014-03-01 13:34:03,NULL,NULL,2014-03-01 13:35:25,5
2014-03-01 13:37:18,30175,8077.0,2014-03-01 13:37:19,NULL,NULL,2014-03-01 13:40:46,5
2014-03-01 13:41:43,30175,6985.0,2014-03-01 13:41:44,NULL,NULL,2014-03-01 13:45:24,5
2014-03-01 13:43:05,30179,7819.0,2014-03-01 13:43:06,NULL,2014-03-01 13:43:23,2014-03-01 13:44:19,9
2014-03-01 13:46:52,30175,9118.0,2014-03-01 13:46:53,NULL,NULL,2014-03-01 13:55:07,5
2014-03-01 13:48:16,30066,8077.0,2014-03-01 13:48:17,NULL,NULL,2014-03-01 13:51:56,0
2014-03-01 13:49:49,30175,7819.0,2014-03-01 13:49:50,NULL,NULL,2014-03-01 13:57:03,5
2014-03-01 13:50:41,30172,6985.0,2014-03-01 13:50:42,2014-03-01 13:51:26,2014-03-01 13:52:02,2014-03-01 13:54:50,2
2014-03-01 13:52:54,30175,8077.0,2014-03-01 13:52:55,NULL,NULL,2014-03-01 13:58:51,5
2014-03-01 13:53:23,30175,6985.0,2014-03-01 13:53:24,NULL,NULL,2014-03-01 13:55:12,5
2014-03-01 13:55:59,30175,9118.0,2014-03-01 13:56:00,NULL,NULL,2014-03-01 14:01:36,5
2014-03-01 13:56:28,30175,6985.0,2014-03-01 13:56:29,NULL,NULL,2014-03-01 14:00:43,5
2014-03-01 13:56:28,30175,7819.0,2014-03-01 13:57:09,NULL,NULL,2014-03-01 13:57:49,5
2014-03-01 14:00:04,30179,7819.0,2014-03-01 14:00:05,NULL,NULL,2014-03-01 14:02:34,9
2014-03-01 14:00:16,30066,8077.0,2014-03-01 14:00:17,NULL,NULL,2014-03-01 14:06:31,0
2014-03-01 14:02:55,30175,8496.0,2014-03-01 14:02:56,NULL,NULL,2014-03-01 14:08:19,5
2014-03-01 14:04:05,30066,6985.0,2014-03-01 14:04:06,NULL,NULL,2014-03-01 14:07:44,0
2014-03-01 14:04:30,30175,7819.0,2014-03-01 14:04:31,NULL,NULL,2014-03-01 14:07:40,5
2014-03-01 14:04:31,30172,8077.0,2014-03-01 14:06:36,NULL,NULL,2014-03-01 14:12:49,2
2014-03-01 14:05:08,30560,7819.0,2014-03-01 14:07:46,NULL,NULL,2014-03-01 14:15:05,20
